WARNING 2025-03-29 09:39:25,754 log 1 140403071146808 Unauthorized: /api/game_settings/match_history/list/
WARNING 2025-03-29 09:39:28,457 log 1 140403066915640 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:39:33,858 log 1 140403071146808 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:39:33,858 log 1 140403066915640 Unauthorized: /api/game_settings/match_history/list/
WARNING 2025-03-29 09:39:37,498 log 1 140403066915640 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:39:40,799 log 1 140403071146808 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:39:40,799 log 1 140403066915640 Unauthorized: /api/game_settings/match_history/list/
WARNING 2025-03-29 09:39:41,623 log 1 140403071146808 Unauthorized: /auth/user/
WARNING 2025-03-29 09:39:45,321 log 1 140403066915640 Unauthorized: /auth/user/
WARNING 2025-03-29 09:39:47,677 log 1 140403066915640 Unauthorized: /auth/user/
WARNING 2025-03-29 09:39:49,716 log 1 140403071146808 Unauthorized: /auth/user/
WARNING 2025-03-29 09:40:01,920 log 1 140403066915640 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:40:01,920 log 1 140403066915640 Unauthorized: /api/game_settings/match_history/list/
WARNING 2025-03-29 09:41:19,342 log 1 140403066915640 Bad Request: /tournament/1/play_next/
WARNING 2025-03-29 09:41:20,934 log 1 140403071146808 Bad Request: /tournament/1/play_next/
WARNING 2025-03-29 09:41:24,259 log 1 140403066915640 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:41:33,758 log 1 140403071146808 Unauthorized: /api/game_settings/match_history/list/
WARNING 2025-03-29 09:41:33,758 log 1 140403066915640 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:41:34,441 log 1 140403066915640 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:41:34,441 log 1 140403071146808 Unauthorized: /api/game_settings/match_history/list/
WARNING 2025-03-29 09:41:34,930 log 1 140403066915640 Unauthorized: /api/game_settings/
WARNING 2025-03-29 09:41:34,930 log 1 140403071146808 Unauthorized: /api/game_settings/match_history/list/
WARNING 2025-03-29 09:44:14,651 log 1 140403066915640 Bad Request: /tournament/2/play_next/
WARNING 2025-03-29 09:44:16,985 log 1 140403071146808 Bad Request: /tournament/2/play_next/
WARNING 2025-03-29 10:44:46,981 log 1 140315340098360 Not Found: /favicon.ico
